municipality	province	latitude	longitude	surface_km2	population	avg_household_income_2012	avg_woz_2014	university
Wassenaar	Zuid-Holland	52.142.910	4.401.213	62.37	25786	52600	483000	0
Waterland	Noord-Holland	52.447.050	5.015.475	115.66	17154	41400	269000	0
Weert	Limburg	51.243.941	5.714.222	105.52	48727	34400	211000	0
Weesp	Noord-Holland	52.308.051	5.040.622	21.83	18231	35500	222000	0
Werkendam	Noord-Brabant	51.808.165	4.891.848	121.76	26400	38300	238000	0
West Maas en Waal	Gelderland	51.861.341	5.501.737	85.21	18391	36400	245000	0
Westerveld	Drenthe	52.857.708	6.296.010	282.74	18902	34900	253000	0
Westervoort	Gelderland	51.963.807	5.968.984	7.84	15147	33700	182000	0
Westerwolde	Groningen	53.027.025	7.110.788	280.63				0
Westland	Zuid-Holland	51.999.176	4.217.457	90.58	103335	37100	241000	0
Weststellingwerf	Friesland	52.871.892	6.022.919	228.45	25487	32000	182000	0
Westvoorne	Zuid-Holland	51.887.279	4.084.461	97.48	13977	42800	303000	0
Wierden	Overijssel	52.358.260	6.593.873	95.39	23906	38400	235000	0
Wijchen	Gelderland	51.813.674	5.752.895	69.56	41010	35800	227000	0
Wijdemeren	Noord-Holland	52.219.688	5.093.666	76.36	23170	41600	331000	0
Wijk bij Duurstede	Utrecht	51.975.600	5.338.450	50.25	23031	39500	261000	0
Winsum	Groningen	53.330.810	6.522.254	102.53	13843	33300	167000	0
Winterswijk	Gelderland	51.971.314	6.720.509	138.81	28873	32000	180000	0
Woensdrecht	Noord-Brabant	51.429.248	4.304.708	91.91	21654	35700	224000	0
Woerden	Utrecht	52.079.829	4.862.724	92.92	50607	39900	251000	0
De Wolden	Drenthe	52.681.979	6.366.039	226.35	23592	36300	252000	0
Wormerland	Noord-Holland	52.507.275	4.852.800	45.18	15751	37500	217000	0
Woudenberg	Utrecht	52.082.175	5.426.595	36.82	12386	38800	281000	0
Woudrichem	Noord-Brabant	51.817.007	5.003.751	51.7	14407	38200	251000	0
Zaanstad	Noord-Holland	52.457.966	4.751.043	83.24	150911	33300	177000	0
Zaltbommel	Gelderland	51.813.554	5.250.773	89.04	27207	38000	233000	0
Zandvoort	Noord-Holland	52.371.149	4.533.355	43.97	16588	33700	255000	0
Zederik	Zuid-Holland	51.925.558	5.013.633	76.5	13661	39200	256000	0
Zeewolde	Flevoland	52.331.128	5.540.495	268.86	21543	39200	235000	0
Zeist	Utrecht	52.090.601	5.233.253	48.65	61337	39700	301000	0
Zevenaar	Gelderland	51.929.445	6.076.959	58	32254	33400	186000	0
Zoetermeer	Zuid-Holland	52.060.669	4.494.025	37.05	123614	36000	188000	0
Zoeterwoude	Zuid-Holland	52.120.830	4.516.570	21.96	8089	40900	261000	0
Zuidhorn	Groningen	53.243.148	6.408.104	128.37	18767	35100	185000	0
Zuidplas	Zuid-Holland	52.006.758	4.582.785	62.42	40878	40700	235000	0
Zundert	Noord-Brabant	51.470.701	4.662.356	121.17	21374	35800	289000	0
Zutphen	Gelderland	52.142.736	6.196.058	42.93	47154	32100	185000	0
Zwartewaterland	Overijssel	52.601.512	6.059.625	87.86	22148	35600	197000	0
Zwijndrecht	Zuid-Holland	51.810.598	4.627.272	22.77	44546	34400	169000	0
Zwolle	Overijssel	52.516.775	6.083.022	119.36	123211	33600	200000	0
